tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0x06a4db8cf0ac66b3a752ba42af8b93fbc0ee0d88a5ad4acf43a4391bf8932204,1699975830,1699975838,8,62803,242,5,14
0xa0accac6b202cbffd8fe25aa8dd74a2aa9f47620ef52f3238e4e806c75b18719,1699975832,1699975838,6,61393,242,5,14
0x1caf264109a2c85b72c901c263c54cd7bce8a7e9119ca002a6c937b885e5ceb7,1699975834,1699975838,4,68285,242,5,14
0xd269310e616f1e4063d1132b49bae1b6800add1c892102dc00cc2d74b6c0623b,1699975838,1699975843,5,58603,243,5,21
0xcb2417a66f161709b1aba8fc0226e924e549c6024f774b387a22943bc193ebfa,1699975839,1699975843,4,101249,243,5,21
0x603273d231ec55be25b088096feb760e2d1bd4f7727a8179b3c55c01ed8a1bdf,1699975841,1699975843,2,64085,243,5,21
0x5acd37c0d45abbc25e9b4e16d133a14ce72486594bf48c7eeb13e7a5d6532f62,1699975845,1699975848,3,62803,244,5,30
0xb8199a1a29c68be7a61f46fe3d209e97085b1e4820344134ac11a08b79c7970b,1699975846,1699975853,7,69695,245,5,22
0xcd3f59a7b6f0eb0b5262ce3381dc0dc6ddb786126acf3dc6fad3ea417943e6fd,1699975848,1699975853,5,103990,245,5,22
0x10c952268b7551165c563ef8d2c3a47c08b073e3f469575c79b9808feeebdf26,1699975852,1699975858,6,62803,246,5,12
0x5cf430d6818700a56317ac6107bf218bba1c9274964685fca22df695306092be,1699975854,1699975858,4,69695,246,5,12
0xa5959ac64f9861a971e739bb71230f08c1ec47b1efbf727f0a4cc59f872503d5,1699975856,1699975858,2,68285,246,5,12
0x0ea7e5b517cdb70099f6f43cc24563def789100d2dca1376de53fb3803f1e028,1699975860,1699975863,3,62754,247,5,30
0x0054eceff36f14ed19d079c97ef63590eae2876faaf3e3258f77e8d834f172ac,1699975862,1699975868,6,65495,248,5,16
0xf8cd1fde86a941d85ccaf86b38f4ec26c43fa03dc9f5e62a33a5b8de5c859e07,1699975864,1699975868,4,103990,248,5,16
0x82a2e803a84151fcab181ac73e4642dc93590994c89aac6337fa54325afccdc2,1699975868,1699975873,5,62803,249,5,17
0x9f5208a05d4f99c258ffd32c5b1c7734a9263083aa2725ccbb3c7491b952061a,1699975870,1699975873,3,61393,249,5,17
0x96ba5ce50f15a0aa2552df74dbd0c83275816965228a79b1c0f983e69eadb6c1,1699975872,1699975878,6,68285,250,5,28
0x5139b5a93bbe0d69e665ee0117f7f429b5fbd66c9cfaf249fb0e5c6661cf7eff,1699975877,1699975883,6,58603,251,5,5
0xc96627d25d611ac0e21b73591cafa9f51b715b29f9035f4af880382eee281b3c,1699975878,1699975883,5,101249,251,5,5
0x900e5309095f8a0aa098c5c5ad0a5cff9bef62a5fb56a9e6fd8e4227a85f0f76,1699975880,1699975883,3,64085,251,5,5
0x0836587034cf546c1d94ab6662ab8b7c8258511c1d8782f8652ba59e6838fdec,1699975885,1699975888,3,62803,252,5,30
0xaaa79a9ac006d8c56cd05dd9bd1dc885896b826bc5ac2715735f90cb7b406b01,1699975886,1699975893,7,69695,253,5,25
0xb24913ecb11e463d7a7b89690dec0bce1a848fe3a44037f363c78234338f9338,1699975888,1699975893,5,103990,253,5,25
0xdff2cd6392df93b3b42432acad721aca001e74574314fc61818f354d7da8927d,1699975892,1699975898,6,62803,254,5,8
